,Date,Month,Year,Unemployment,Unemployment_Norm,Unemployment_Norm_Diff,Unemployment_Norm_Diff_lag_1,Unemployment_Norm_Diff_lag_2,Unemployment_Norm_Diff_lag_3,Unemployment_Norm_Diff_lag_4,Unemployment_Norm_Diff_lag_5,Unemployment_Norm_Diff_lag_6,Unemployment_Norm_Diff_lag_7,Unemployment_Norm_Diff_lag_8,Unemployment_Norm_Diff_lag_9,Unemployment_Norm_Diff_lag_10,Unemployment_Norm_Diff_lag_11,Unemployment_Norm_Diff_lag_12
59,2019-02-01,2,2019,3.8,-1.2309525242271022,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0
60,2019-03-01,3,2019,3.8,-1.2309525242271022,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0
61,2019-04-01,4,2019,3.8,-1.2309525242271022,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0
62,2019-05-01,5,2019,3.9,-1.189030089094837,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025
63,2019-06-01,6,2019,3.8,-1.2309525242271022,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0
64,2019-07-01,7,2019,3.9,-1.189030089094837,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0
65,2019-08-01,8,2019,3.8,-1.2309525242271022,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649
66,2019-09-01,9,2019,3.8,-1.2309525242271022,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0
67,2019-10-01,10,2019,3.8,-1.2309525242271022,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0,-0.0419224351322649
68,2019-11-01,11,2019,3.8,-1.2309525242271022,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512,0.0
69,2019-12-01,12,2019,3.9,-1.189030089094837,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0,-0.04192243513226512
70,2020-01-01,1,2020,4.0,-1.147107653962572,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512,0.0
71,2020-02-01,2,2020,4.0,-1.147107653962572,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0,-0.04192243513226512
72,2020-03-01,3,2020,4.1,-1.105185218830307,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0,0.0
73,2020-04-01,4,2020,4.1,-1.105185218830307,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512,0.0
74,2020-05-01,5,2020,4.1,-1.105185218830307,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512,0.04192243513226512
75,2020-06-01,6,2020,4.3,-1.0213403485657768,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512,-0.04192243513226512
76,2020-07-01,7,2020,4.6,-0.8955730431689816,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512,0.04192243513226512
77,2020-08-01,8,2020,4.9,-0.7698057377721861,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0,-0.04192243513226512
78,2020-09-01,9,2020,5.1,-0.6859608675076562,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0,0.0
79,2020-10-01,10,2020,5.1,-0.6859608675076562,0.0,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0,0.0
80,2020-11-01,11,2020,5.2,-0.6440384323753908,0.041922435132265345,0.0,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512,0.0
81,2020-12-01,12,2020,5.1,-0.6859608675076562,-0.041922435132265345,0.041922435132265345,0.0,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512,0.04192243513226512
82,2021-01-01,1,2021,5.1,-0.6859608675076562,0.0,-0.041922435132265345,0.041922435132265345,0.0,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0,0.04192243513226512
83,2021-02-01,2,2021,4.9,-0.7698057377721861,-0.08384487026452991,0.0,-0.041922435132265345,0.041922435132265345,0.0,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649,0.0
84,2021-03-01,3,2021,4.9,-0.7698057377721861,0.0,-0.08384487026452991,0.0,-0.041922435132265345,0.041922435132265345,0.0,0.08384487026452991,0.12576730539679548,0.12576730539679526,0.08384487026453025,0.0,0.0,0.0419224351322649
